ID,lesson_id,contenido_zh,Pinyin,traduccion_es,POS,grammar_ref,titulo_es_leccion
L1-0294,8.0,钱,qián,dinero,N,G1.2 (Verbos Modales) | G1.46 (Preguntas con partículas de cantidad/lugar) | G1.8 (Clasificadores Nominales),Quiero beber té
L1-0295,0.0,钱包,qiánbāo,cartera,N,,Vocabulario General
L1-0296,10.0,请,qǐng,por favor (verbo),V,G1.1 (Sustantivos de Posición) | G1.37 (Oraciones de Existencia - 有) | G1.2 (Verbos Modales) | G1.45 (Preguntas con 吗),¿Puedo sentarme aquí?
L1-0297,0.0,请假,qǐngjià,pedir permiso (para ausentarse),,,Vocabulario General
L1-0298,0.0,请进,qǐng jìn,"pase, por favor",,,Vocabulario General
L1-0299,7.0,请问,qǐngwèn,"disculpe, por favor (verbo)",V,G1.44 (Expresión de Tiempo: Fecha),¿A qué estamos hoy?
L1-0300,0.0,请坐,qǐng zuò,"siéntese, por favor",,,Vocabulario General
L1-0301,0.0,球,qiú,pelota,N,,Vocabulario General
L1-0302,14.0,去,qù,ir,V,G1.41 (Estado Completo - 了) | G1.15 (Preposiciones de Tiempo/Lugar),Ella compró bastante ropa
L1-0303,0.0,去年,qùnián,el año pasado,N,,Vocabulario General
L1-0304,12.0,热,rè,caliente / calentarse,Adj/V,G1.4 (Pronombres Interrogativos),¿Qué tiempo hará mañana?
L1-0305,2.0,人,rén,persona,N,,Gracias
L1-0306,0.0,认识,rènshi,conocer / conocimiento,V/N,,Vocabulario General
L1-0307,0.0,认真,rènzhēn,"serio, cuidadoso",Adj,,Vocabulario General
L1-0308,15.0,日,rì,día,N,G1.36 (Estructura de Énfasis 是...的),Vine en avión
L1-0309,0.0,日期,rìqī,fecha,N,,Vocabulario General
L1-0310,0.0,肉,ròu,carne,N,,Vocabulario General
L1-0311,1.1,三,sān,tres,Num,,Hola
L1-0312,0.0,山,shān,montaña,N,,Vocabulario General
L1-0313,0.0,商场,shāngchǎng,centro comercial,N,,Vocabulario General
L1-0314,10.0,商店,shāngdiàn,tienda,N,G1.1 (Sustantivos de Posición) | G1.37 (Oraciones de Existencia - 有) | G1.2 (Verbos Modales) | G1.45 (Preguntas con 吗),¿Puedo sentarme aquí?
L1-0315,2.0,上,shàng,arriba / subir,N/V,,Gracias
L1-0316,0.0,上班,shàngbān,ir a trabajar,,,Vocabulario General
L1-0317,0.0,上边,shàngbian,parte superior,N,,Vocabulario General
L1-0318,0.0,上车,shàng chē,subir al vehículo,,,Vocabulario General
L1-0319,0.0,上次,shàng cì,la última vez,,,Vocabulario General
L1-0320,0.0,上课,shàngkè,dar clase / asistir a clase,,,Vocabulario General
L1-0321,0.0,上网,shàngwǎng,navegar por internet,,,Vocabulario General
L1-0322,13.0,上午,shàngwǔ,mañana (antes del mediodía),N,G1.42 (Estado Progresivo - 在/正在) | G1.22 (Partícula Modal 吧),Él está aprendiendo a cocinar comida china
L1-0323,0.0,上学,shàngxué,ir a la escuela,,,Vocabulario General
L1-0324,8.0,少,shǎo,poco / reducir,Adj/V,G1.2 (Verbos Modales) | G1.46 (Preguntas con partículas de cantidad/lugar) | G1.8 (Clasificadores Nominales),Quiero beber té
L1-0325,4.0,谁,shéi,quién,Pr,G1.4 (Pronombres Interrogativos) | G1.6 (Pronombres Demostrativos),Ella es mi profesora de chino
L1-0325,4.0,谁,shuí,quién,Pr,G1.4 (Pronombres Interrogativos) | G1.6 (Pronombres Demostrativos),Ella es mi profesora de chino
L1-0326,0.0,身上,shēnshang,en el cuerpo,N,,Vocabulario General
L1-0327,12.0,身体,shēntǐ,salud,N,G1.4 (Pronombres Interrogativos),¿Qué tiempo hará mañana?
L1-0328,3.0,什么,shénme,qué,Pron,G1.4 (Pronombres Interrogativos),¿Cómo te llamas?
L1-0329,0.0,生病,shēngbìng,enfermarse,,,Vocabulario General
L1-0330,0.0,生气,shēngqì,enfadarse,,,Vocabulario General
L1-0331,0.0,生日,shēngrì,cumpleaños,N,,Vocabulario General
L1-0332,1.1,十,shí,diez,Num,,Hola
L1-0333,14.0,时候,shíhou,momento,N,G1.41 (Estado Completo - 了) | G1.15 (Preposiciones de Tiempo/Lugar),Ella compró bastante ropa
L1-0334,0.0,时间,shíjiān,tiempo,N,,Vocabulario General
L1-0335,0.0,事,shì,asunto,N,,Vocabulario General
L1-0336,0.0,试,shì,probar,V,,Vocabulario General
L1-0337,2.0,是,shì,ser,V,,Gracias
L1-0338,0.0,是不是,shì bu shì,¿es o no es?,,,Vocabulario General
L1-0339,0.0,手,shǒu,mano,N,,Vocabulario General
L1-0340,0.0,手机,shǒujī,teléfono móvil,N,,Vocabulario General
L1-0341,7.0,书,shū,libro,N,G1.44 (Expresión de Tiempo: Fecha),¿A qué estamos hoy?
L1-0342,0.0,书包,shūbāo,mochila,N,,Vocabulario General
L1-0343,0.0,书店,shūdiàn,librería,N,,Vocabulario General
L1-0344,7.0,树,shù,árbol,N,G1.44 (Expresión de Tiempo: Fecha),¿A qué estamos hoy?
L1-0345,5.0,水,shuǐ,agua,N,G1.4 (Pronombres Interrogativos) | G1.46 (Preguntas con partículas de cantidad/lugar),Su hija tiene veinte años este año
L1-0346,12.0,水果,shuǐguǒ,fruta,N,G1.4 (Pronombres Interrogativos),¿Qué tiempo hará mañana?
L1-0347,13.0,睡,shuì,dormir,V,G1.42 (Estado Progresivo - 在/正在) | G1.22 (Partícula Modal 吧),Él está aprendiendo a cocinar comida china
L1-0348,13.0,睡觉,shuìjiào,dormir (acción),,G1.42 (Estado Progresivo - 在/正在) | G1.22 (Partícula Modal 吧),Él está aprendiendo a cocinar comida china
L1-0349,6.0,说,shuō,hablar,V,G1.2 (Verbos Modales),Sé hablar chino
L1-0350,0.0,说话,shuōhuà,hablar (conversar),,,Vocabulario General
L1-0351,5.0,四,sì,cuatro,Num,G1.4 (Pronombres Interrogativos) | G1.46 (Preguntas con partículas de cantidad/lugar),Su hija tiene veinte años este año
L1-0352,0.0,送,sòng,enviar,V,,Vocabulario General
L1-0353,5.0,岁,suì,año (de edad),M,G1.4 (Pronombres Interrogativos) | G1.46 (Preguntas con partículas de cantidad/lugar),Su hija tiene veinte años este año
L1-0354,4.0,他,tā,él,Pron,G1.4 (Pronombres Interrogativos) | G1.6 (Pronombres Demostrativos),Ella es mi profesora de chino
L1-0355,0.0,他们,tāmen,ellos,Pron,,Vocabulario General
L1-0356,4.0,她,tā,ella,Pron,G1.4 (Pronombres Interrogativos) | G1.6 (Pronombres Demostrativos),Ella es mi profesora de chino
L1-0357,0.0,她们,tāmen,ellas,Pron,,Vocabulario General
L1-0358,0.0,太,tài,demasiado,Adv,,Vocabulario General
L1-0359,1.1,天,tiān,día,N/M,,Hola
L1-0360,12.0,天气,tiānqì,clima,N,G1.4 (Pronombres Interrogativos),¿Qué tiempo hará mañana?
L1-0361,0.0,听,tīng,escuchar,V,,Vocabulario General
L1-0362,0.0,听到,tīngdào,oír,,,Vocabulario General
L1-0363,0.0,听见,tīngjiàn,oír (percibir),,,Vocabulario General
L1-0364,0.0,听写,tīngxiě,dictado,V,,Vocabulario General
L1-0365,4.0,同学,tóngxué,compañero de clase,N,G1.4 (Pronombres Interrogativos) | G1.6 (Pronombres Demostrativos),Ella es mi profesora de chino
L1-0366,0.0,图书馆,túshūguǎn,biblioteca,N,,Vocabulario General
L1-0367,0.0,外,wài,exterior,N,,Vocabulario General
L1-0368,0.0,外边,wàibian,afuera,N,,Vocabulario General
L1-0369,0.0,外国,wàiguó,país extranjero,N,,Vocabulario General
L1-0370,0.0,外语,wàiyǔ,idioma extranjero,N,,Vocabulario General
L1-0371,0.0,玩儿,wánr,jugar,V,,Vocabulario General
L1-0372,0.0,晚,wǎn,tarde,Adj,,Vocabulario General
L1-0373,0.0,晚饭,wǎnfàn,cena,N,,Vocabulario General
L1-0374,0.0,晚上,wǎnshang,noche,N,,Vocabulario General
L1-0375,0.0,网上,wǎng shang,en línea,,,Vocabulario General
L1-0376,0.0,网友,wǎngyǒu,amigo de internet,N,,Vocabulario General
L1-0377,0.0,忘,wàng,olvidar,V,,Vocabulario General
L1-0378,0.0,忘记,wàngjì,olvidar,V,,Vocabulario General
L1-0379,0.0,问,wèn,preguntar,V,,Vocabulario General
L1-0380,5.0,我,wǒ,yo,Pron,G1.4 (Pronombres Interrogativos) | G1.46 (Preguntas con partículas de cantidad/lugar),Su hija tiene veinte años este año
L1-0381,11.0,我们,wǒmen,nosotros,Pron,G1.44 (Expresión de Tiempo: Hora),¿Qué hora es ahora?
L1-0382,6.0,五,wǔ,cinco,Num,G1.2 (Verbos Modales),Sé hablar chino
L1-0383,0.0,午饭,wǔfàn,almuerzo,N,,Vocabulario General
L1-0384,6.0,西,xī,oeste,N,G1.2 (Verbos Modales),Sé hablar chino
L1-0385,0.0,西边,xībian,lado oeste,N,,Vocabulario General
L1-0386,0.0,洗,xǐ,lavar,V,,Vocabulario General
L1-0387,0.0,洗手间,xǐshǒujiān,baño,N,,Vocabulario General
L1-0388,13.0,喜欢,xǐhuan,gustar,V,G1.42 (Estado Progresivo - 在/正在) | G1.22 (Partícula Modal 吧),Él está aprendiendo a cocinar comida china
L1-0389,1.1,下,xià,abajo / bajar,N/V,,Hola
L1-0390,0.0,下班,xiàbān,salir del trabajo,,,Vocabulario General
L1-0391,0.0,下边,xiàbian,parte inferior,N,,Vocabulario General
L1-0392,0.0,下车,xià chē,bajarse del vehículo,,,Vocabulario General
L1-0393,0.0,下次,xià cì,próxima vez,,,Vocabulario General
L1-0394,0.0,下课,xiàkè,terminar la clase,,,Vocabulario General
L1-0395,0.0,下午,xiàwǔ,tarde,N,,Vocabulario General
L1-0396,0.0,下雨,xià yǔ,llover,,,Vocabulario General
L1-0397,0.0,先,xiān,primero,Adv,,Vocabulario General
L1-0398,15.0,先生,xiānsheng,señor,N,G1.36 (Estructura de Énfasis 是...的),Vine en avión
L1-0399,11.0,现在,xiànzài,ahora,N,G1.44 (Expresión de Tiempo: Hora),¿Qué hora es ahora?
L1-0400,8.0,想,xiǎng,querer / pensar,V,G1.2 (Verbos Modales) | G1.46 (Preguntas con partículas de cantidad/lugar) | G1.8 (Clasificadores Nominales),Quiero beber té
L1-0401,2.0,小,xiǎo,pequeño,Adj,,Gracias
L1-0402,5.0,小孩儿,xiǎoháir,niño,N,G1.4 (Pronombres Interrogativos) | G1.46 (Preguntas con partículas de cantidad/lugar),Su hija tiene veinte años este año
L1-0403,12.0,小姐,xiǎojiě,señorita,N,G1.4 (Pronombres Interrogativos),¿Qué tiempo hará mañana?
L1-0404,0.0,小朋友,xiǎopéngyǒu,niño pequeño,N,,Vocabulario General
L1-0405,0.0,小时,xiǎoshí,hora,N,,Vocabulario General
L1-0406,0.0,小学,xiǎoxué,escuela primaria,N,,Vocabulario General
L1-0407,0.0,小学生,xiǎoxuéshēng,estudiante de primaria,N,,Vocabulario General
L1-0408,0.0,笑,xiào,reír,V,,Vocabulario General
L1-0409,0.0,写,xiě,escribir,V,,Vocabulario General
L1-0410,2.0,谢谢,xièxie,gracias,V,,Gracias
L1-0411,0.0,新,xīn,nuevo,Adj,,Vocabulario General
L1-0412,0.0,新年,xīnnián,año nuevo,N,,Vocabulario General
L1-0413,7.0,星期,xīngqī,semana,N,G1.44 (Expresión de Tiempo: Fecha),¿A qué estamos hoy?
L1-0414,0.0,星期日,xīngqīrì,domingo,N,,Vocabulario General
L1-0415,7.0,星期天,xīngqītiān,domingo,N,G1.44 (Expresión de Tiempo: Fecha),¿A qué estamos hoy?
L1-0416,0.0,行,xíng,estar bien / funcionar,V/Adj,,Vocabulario General
L1-0417,0.0,休息,xiūxi,descansar,V,,Vocabulario General
L1-0418,13.0,学,xué,aprender,V,G1.42 (Estado Progresivo - 在/正在) | G1.22 (Partícula Modal 吧),Él está aprendiendo a cocinar comida china
L1-0419,3.0,学生,xuéshēng,estudiante,N,G1.4 (Pronombres Interrogativos),¿Cómo te llamas?
L1-0420,0.0,学习,xuéxí,estudiar,V,,Vocabulario General
L1-0421,7.0,学校,xuéxiào,escuela,N,G1.44 (Expresión de Tiempo: Fecha),¿A qué estamos hoy?
L1-0422,0.0,学院,xuéyuàn,facultad,N,,Vocabulario General
L1-0423,0.0,要,yào,querer / necesitar,V,,Vocabulario General
L1-0424,0.0,爷爷,yéye,abuelo,N,,Vocabulario General
L1-0425,11.0,也,yě,también,Adv,G1.44 (Expresión de Tiempo: Hora),¿Qué hora es ahora?
L1-0426,0.0,页,yè,página,M,,Vocabulario General
L1-0427,1.2,一,yī,uno,Num,,Hola
L1-0428,14.0,衣服,yīfu,ropa,N,G1.41 (Estado Completo - 了) | G1.15 (Preposiciones de Tiempo/Lugar),Ella compró bastante ropa
L1-0429,9.0,医生,yīshēng,médico,N,G1.4 (Pronombres Interrogativos) | G1.1 (Sustantivos de Posición),¿Dónde trabaja tu hijo?
L1-0430,0.0,医院,yīyuàn,hospital,N,,Vocabulario General
L1-0431,0.0,一半,yībàn,mitad,Num,,Vocabulario General
L1-0432,0.0,一会儿,yīhuìr,un momento,,,Vocabulario General
L1-0433,0.0,一块儿,yīkuàir,juntos,N/Adv,,Vocabulario General
L1-0434,0.0,一下儿,yīxiàr,un poco,,,Vocabulario General
L1-0435,0.0,一样,yīyàng,igual,Adj,,Vocabulario General
L1-0436,0.0,一边,yībiān,un lado,N/Adv,,Vocabulario General
L1-0437,0.0,一点儿,yīdiǎnr,un poco,,,Vocabulario General
L1-0438,0.0,一起,yīqǐ,juntos,Adv/N,,Vocabulario General
L1-0439,0.0,一些,yīxiē,algunos,,,Vocabulario General
L1-0440,0.0,用,yòng,usar,V,,Vocabulario General
L1-0441,8.0,有,yǒu,tener,V,G1.2 (Verbos Modales) | G1.46 (Preguntas con partículas de cantidad/lugar) | G1.8 (Clasificadores Nominales),Quiero beber té
L1-0442,0.0,有的,yǒude,algunos,Pron,,Vocabulario General
L1-0443,0.0,有名,yǒumíng,famoso,,,Vocabulario General
L1-0444,0.0,有时候,yǒushíhou,a veces,Adv,,Vocabulario General
L1-0444,0.0,有时,yǒushí,a veces,Adv,,Vocabulario General
L1-0445,0.0,有些,yǒuxiē,algunos,Pr,,Vocabulario General
L1-0445,0.0,有一些,yǒuyīxiē,tener algunos,Pr,,Vocabulario General
L1-0446,0.0,有用,yǒuyòng,ser útil,V,,Vocabulario General
L1-0447,0.0,右,yòu,derecha,N,,Vocabulario General
L1-0448,0.0,右边,yòubian,lado derecho,N,,Vocabulario General
L1-0449,12.0,雨,yǔ,lluvia,N,G1.4 (Pronombres Interrogativos),¿Qué tiempo hará mañana?
L1-0450,0.0,元,yuán,yuan (unidad monetaria),M,,Vocabulario General
L1-0451,0.0,远,yuǎn,lejos,Adj,,Vocabulario General
L1-0452,3.0,月,yuè,mes,N,G1.4 (Pronombres Interrogativos),¿Cómo te llamas?
L1-0453,0.0,再,zài,de nuevo,Adv,,Vocabulario General
L1-0454,2.0,再见,zàijiàn,adiós,V,,Gracias
L1-0455,2.0,在,zài,estar en,V/Prep/Adv,,Gracias
L1-0456,9.0,在家,zàijiā,estar en casa,V,G1.4 (Pronombres Interrogativos) | G1.1 (Sustantivos de Posición),¿Dónde trabaja tu hijo?
L1-0457,0.0,早,zǎo,temprano,Adj,,Vocabulario General
L1-0458,11.0,早饭,zǎofàn,desayuno,N,G1.44 (Expresión de Tiempo: Hora),¿Qué hora es ahora?
L1-0459,0.0,早上,zǎoshang,mañana,N,,Vocabulario General
L1-0460,6.0,怎么,zěnme,cómo,Pron,G1.2 (Verbos Modales),Sé hablar chino
L1-0461,11.0,站,zhàn,estación,N,G1.44 (Expresión de Tiempo: Hora),¿Qué hora es ahora?
L1-0462,0.0,找,zhǎo,buscar,V,,Vocabulario General
L1-0463,0.0,找到,zhǎodào,encontrar,,,Vocabulario General
L1-0464,4.0,这,zhè,este,Pron,G1.4 (Pronombres Interrogativos) | G1.6 (Pronombres Demostrativos),Ella es mi profesora de chino
L1-0465,0.0,这边,zhèbiān,aquí,Pron,,Vocabulario General
L1-0466,0.0,这里,zhèlǐ,aquí,Pron,,Vocabulario General
L1-0467,0.0,这儿,zhèr,aquí,Pron,,Vocabulario General
L1-0468,14.0,这些,zhèxiē,estos,Pron,G1.41 (Estado Completo - 了) | G1.15 (Preposiciones de Tiempo/Lugar),Ella compró bastante ropa
L1-0469,0.0,着,zhe,partícula de aspecto continuo,Aux,,Vocabulario General
L1-0470,0.0,真,zhēn,muy,Adv/Adj,,Vocabulario General
L1-0471,0.0,真的,zhēn de,de verdad,,,Vocabulario General
L1-0472,0.0,正,zhèng,justo,Adv,,Vocabulario General
L1-0473,0.0,正在,zhèngzài,estar en proceso de,Adv,,Vocabulario General
L1-0474,0.0,知道,zhīdào,saber,V,,Vocabulario General
L1-0475,0.0,知识,zhīshi,conocimiento,N,,Vocabulario General
L1-0476,3.0,中,zhōng,centro,N,G1.4 (Pronombres Interrogativos),¿Cómo te llamas?
L1-0477,6.0,中国,Zhōngguó,china,N,G1.2 (Verbos Modales),Sé hablar chino
L1-0478,3.0,中间,zhōngjiān,en medio,N,G1.4 (Pronombres Interrogativos),¿Cómo te llamas?
L1-0479,0.0,中文,Zhōngwén,chino (idioma),N,,Vocabulario General
L1-0480,0.0,中午,zhōngwǔ,mediodía,N,,Vocabulario General
L1-0481,0.0,中学,zhōngxué,escuela secundaria,N,,Vocabulario General
L1-0482,0.0,中学生,zhōngxuéshēng,estudiante de secundaria,N,,Vocabulario General
L1-0483,0.0,重,zhòng,pesado,Adj,,Vocabulario General
L1-0484,0.0,重要,zhòngyào,importante,Adj,,Vocabulario General
L1-0485,0.0,住,zhù,vivir,V,,Vocabulario General
L1-0486,0.0,准备,zhǔnbèi,preparar,V,,Vocabulario General
L1-0487,10.0,桌子,zhuōzi,mesa,N,G1.1 (Sustantivos de Posición) | G1.37 (Oraciones de Existencia - 有) | G1.2 (Verbos Modales) | G1.45 (Preguntas con 吗),¿Puedo sentarme aquí?
L1-0488,0.0,字,zì,carácter,N,,Vocabulario General
L1-0489,9.0,子,zi,sufijo nominal,Suffix,G1.4 (Pronombres Interrogativos) | G1.1 (Sustantivos de Posición),¿Dónde trabaja tu hijo?
L1-0489,10.0,桌子,zhuōzi,mesa,N,G1.1 (Sustantivos de Posición) | G1.37 (Oraciones de Existencia - 有) | G1.2 (Verbos Modales) | G1.45 (Preguntas con 吗),¿Puedo sentarme aquí?
L1-0490,0.0,走,zǒu,caminar,V,,Vocabulario General
L1-0491,0.0,走路,zǒulù,caminar (andar a pie),,,Vocabulario General
L1-0492,0.0,最,zuì,más,Adv,,Vocabulario General
L1-0493,0.0,最好,zuìhǎo,lo mejor,Adv,,Vocabulario General
L1-0494,0.0,最后,zuìhòu,el final,N,,Vocabulario General
L1-0495,7.0,昨天,zuótiān,ayer,N,G1.44 (Expresión de Tiempo: Fecha),¿A qué estamos hoy?
L1-0496,7.0,左,zuǒ,izquierda,N,G1.44 (Expresión de Tiempo: Fecha),¿A qué estamos hoy?
L1-0497,0.0,左边,zuǒbian,lado izquierdo,N,,Vocabulario General
L1-0498,10.0,坐,zuò,sentarse,V,G1.1 (Sustantivos de Posición) | G1.37 (Oraciones de Existencia - 有) | G1.2 (Verbos Modales) | G1.45 (Preguntas con 吗),¿Puedo sentarme aquí?
L1-0499,0.0,坐下,zuò xia,sentarse (tomar asiento),,,Vocabulario General
L1-0500,7.0,做,zuò,hacer,V,G1.44 (Expresión de Tiempo: Fecha),¿A qué estamos hoy?
